V4_0,Time_codelist,Time,Geography_codelist,Geography,DATAMARKING_codelist,DATAMARKING,Indicators_codelist,Indicators,Measure_codelist,Measure
6.51,,2011/12,K02000001,,,,,0-4,,Life
17.44,,2011/12,K02000001,,,,, 5-6 ,,Life
49.83,,2011/12,K02000001,,,,,7-8  ,,Life
26.22,,2011/12,K02000001,,,,,9-10 ,,Life
5.71,,2012/13*,K02000001,,,,,0-4,,Life
17.1,,2012/13*,K02000001,,,,, 5-6 ,,Life
51.16,,2012/13*,K02000001,,,,,7-8  ,,Life
26.03,,2012/13*,K02000001,,,,,9-10 ,,Life
5.54,,2013/14*,K02000001,,,,,0-4,,Life
15.92,,2013/14*,K02000001,,,,, 5-6 ,,Life
51.62,,2013/14*,K02000001,,,,,7-8  ,,Life
26.92,,2013/14*,K02000001,,,,,9-10 ,,Life
4.74,,2014/15*,K02000001,,,,,0-4,,Life
14.81,,2014/15*,K02000001,,,,, 5-6 ,,Life
51.7,,2014/15*,K02000001,,,,,7-8  ,,Life
28.75,,2014/15*,K02000001,,,,,9-10 ,,Life
4.56,,2015/16*,K02000001,,,,,0-4,,Life
14.23,,2015/16*,K02000001,,,,, 5-6 ,,Life
52.05,,2015/16*,K02000001,,,,,7-8  ,,Life
29.15,,2015/16*,K02000001,,,,,9-10 ,,Life
4.53,,2016/17*,K02000001,,,,,0-4,,Life
13.75,,2016/17*,K02000001,,,,, 5-6 ,,Life
51.74,,2016/17*,K02000001,,,,,7-8  ,,Life
29.97,,2016/17*,K02000001,,,,,9-10 ,,Life
6.53,,2011/12,E92000001,,,,,0-4,,Life
17.59,,2011/12,E92000001,,,,, 5-6 ,,Life
50.01,,2011/12,E92000001,,,,,7-8  ,,Life
25.87,,2011/12,E92000001,,,,,9-10 ,,Life
5.74,,2012/13*,E92000001,,,,,0-4,,Life
17.29,,2012/13*,E92000001,,,,, 5-6 ,,Life
51.35,,2012/13*,E92000001,,,,,7-8  ,,Life
25.62,,2012/13*,E92000001,,,,,9-10 ,,Life
5.58,,2013/14*,E92000001,,,,,0-4,,Life
16.06,,2013/14*,E92000001,,,,, 5-6 ,,Life
51.88,,2013/14*,E92000001,,,,,7-8  ,,Life
26.48,,2013/14*,E92000001,,,,,9-10 ,,Life
4.74,,2014/15*,E92000001,,,,,0-4,,Life
14.93,,2014/15*,E92000001,,,,, 5-6 ,,Life
51.92,,2014/15*,E92000001,,,,,7-8  ,,Life
28.4,,2014/15*,E92000001,,,,,9-10 ,,Life
4.55,,2015/16*,E92000001,,,,,0-4,,Life
14.29,,2015/16*,E92000001,,,,, 5-6 ,,Life
52.38,,2015/16*,E92000001,,,,,7-8  ,,Life
28.77,,2015/16*,E92000001,,,,,9-10 ,,Life
4.5,,2016/17*,E92000001,,,,,0-4,,Life
